,Open,High,Low,Close,Volume,Dividends,Stock Splits,Close_N,return_ratio,MVA_5,MVA_10,MVA_15,MVA_20,MVA_25,MVA_30,pc_open,pc_high,pc_low,sector,Predicted_Return
Open,1.0,0.999917720167243,0.9999329964976384,0.9998727734395094,-0.05742085969541444,0.04073496768519677,-0.0025013970238965443,0.07886622147138798,-0.005294982269851504,0.9999124644169292,0.9997279637192253,0.9995410864997712,0.9993316758321621,0.9991013569137523,0.9988717744213071,-0.002049563561151868,-0.05623701747596948,0.041355562758297104,-0.10343482375550156,-0.0008869973345688373
High,0.999917720167243,1.0,0.9998926695677552,0.9999385659973119,-0.057515797403710336,0.04078484035910672,-0.0024863654664669483,0.07948390081490418,-0.0027069041052596647,0.9998640112169529,0.9996612190802312,0.9994608512163802,0.9992386991825368,0.9989982358041853,0.9987611906460059,-0.004776383418411494,-0.05606323513127161,0.03873155789666864,-0.10367338251971676,-0.0008861071573932247
Low,0.9999329964976384,0.9998926695677552,1.0,0.9999378849936155,-0.057292238356389455,0.04062008319463503,-0.002513616638167136,0.0784943791931881,-0.0031730524965055996,0.9998756243241254,0.9996762560078896,0.9994903384183524,0.9992805775943313,0.9990523565783974,0.9988286890178536,-0.004478696206141402,-0.05848642850644801,0.04139524174537092,-0.10322827117673335,-0.0008839359261126043
Close,0.9998727734395094,0.9999385659973119,0.9999378849936155,1.0,-0.0573809537601492,0.04062342891217092,-0.002508375062617984,0.07902786336293155,-0.0010114978376381078,0.9998430441547543,0.999631706621857,0.9994343493623178,0.9992147598828958,0.9989776492019217,0.9987474675594868,-0.0067139022594026225,-0.05900841704582746,0.038261443804545894,-0.10343525893361155,-0.0008754470097221953
Volume,-0.05742085969541444,-0.057515797403710336,-0.057292238356389455,-0.0573809537601492,1.0,-0.0036254840437560188,0.008904809977869048,0.037600852270689815,0.07293705959126667,-0.057656008112195206,-0.05760506566664598,-0.057542910108484224,-0.057480960277992474,-0.05741760566469911,-0.05736734297521032,-0.04324950130176406,0.09290412381733533,-0.134636210387142,0.09740624140043234,0.000691799867244234
Dividends,0.04073496768519677,0.04078484035910672,0.04062008319463503,0.04062342891217092,-0.0036254840437560188,1.0,-2.866750573792791e-05,0.0032808996127532387,0.0020430431125055644,0.04051497223645252,0.040354066134114755,0.04024923786016632,0.04014588811270302,0.03976040394171379,0.03906585895671462,0.00334444368912676,-0.0019877055562361502,0.005470890821579692,-0.00012562908879005974,7.876026214481559e-05
Stock Splits,-0.0025013970238965443,-0.0024863654664669483,-0.002513616638167136,-0.002508375062617984,0.008904809977869048,-2.866750573792791e-05,1.0,0.004565736455245412,0.014716793530945368,-0.002518203296939821,-0.0025365441628666563,-0.0025541072168887946,-0.002567393694740333,-0.00260797661685783,-0.002622229093512743,-0.0038997022382247877,0.013024507508626475,-0.014674902232106917,-0.0016910099372166826,4.20298559351037e-05
Close_N,0.07886622147138798,0.07948390081490418,0.0784943791931881,0.07902786336293155,0.037600852270689815,0.0032808996127532387,0.004565736455245412,1.0,0.04030530382397924,0.07849650015406086,0.07780883226584004,0.07725426282650191,0.07663450673829042,0.07599178413836989,0.0753403563238682,-0.025226991966875202,0.014797073655757689,-0.05145629638562831,-8.129219656453707e-18,-0.00874115230055044
return_ratio,-0.005294982269851504,-0.0027069041052596647,-0.0031730524965055996,-0.0010114978376381078,0.07293705959126667,0.0020430431125055644,0.014716793530945368,0.04030530382397924,1.0,-0.004957315472731179,-0.005316809837171298,-0.005509752225665143,-0.005497479723627776,-0.00570318935176116,-0.005976696325468478,-0.8687288049166385,-0.49415187538262517,-0.5965977726982319,-0.005369551297092277,-0.0003104374824647121
MVA_5,0.9999124644169292,0.9998640112169529,0.9998756243241254,0.9998430441547543,-0.057656008112195206,0.04051497223645252,-0.002518203296939821,0.07849650015406086,-0.004957315472731179,1.0,0.9998903125737413,0.9997211826023847,0.9995291154868724,0.9993131477592383,0.9990883660103119,-0.0032672249686739223,-0.056931886967228916,0.040487719281797147,-0.1034788288847568,
