Company Name,Industry,Symbol,Series,ISIN Code,Industry_encoded
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038,9
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017,7
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022,1
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025,4
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026,1
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027,1
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017,9
Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010,9
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020,2
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012,9
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014,11
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025,1
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010,16
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024,14
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,16
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,18
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011,16
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,15
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024,8
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,9
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,6
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016,10
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,9
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,15
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,12
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,11
Akums Drugs and Pharmaceuticals Ltd.,Healthcare,AKUMS,EQ,INE09XN01023,11
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018,11
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,11
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039,2
Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029,20
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,0
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,5
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,4
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,9
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024,17
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,9
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,1
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,11
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,0
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,9
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021,2
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,0
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,1
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,5
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,11
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020,11
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,1
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,2
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,11
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038,8
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,6
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,9
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013,2
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016,1
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,6
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,9
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,0
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01024,9
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,9
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,9
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027,2
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,0
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,8
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,9
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,9
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,9
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,9
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,5
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,2
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,5
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,1
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,1
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,0
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,1
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,15
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,19
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,19
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,8
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,11
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012,4
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,12
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,18
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,5
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,8
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,0
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,17
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,8
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,12
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,8
CESC Ltd.,Power,CESC,EQ,INE486A01021,16
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,1
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010,0
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,9
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022,5
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,9
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,9
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,11
